iter	Logloss
0	0.6911653366
1	0.6891674949
2	0.6874358991
3	0.6858383641
4	0.6841907795
5	0.6826572404
6	0.6811162513
7	0.6794198826
8	0.677892733
9	0.6763703664
10	0.6749089957
11	0.6734821938
12	0.6720072584
13	0.6704479731
14	0.6691782915
15	0.6678888584
16	0.6665891778
17	0.66518869
18	0.6640217652
19	0.6627916064
20	0.6615966027
21	0.6604484777
22	0.6591557476
23	0.657952236
24	0.656741341
25	0.6556760624
26	0.6546076743
27	0.6535819448
28	0.6525046672
29	0.65137135
30	0.6502863209
31	0.6493614536
32	0.6484374201
33	0.6474951904
34	0.6466105382
35	0.6457437949
36	0.6448654852
37	0.6439690287
38	0.6430940283
39	0.6422128942
40	0.6413779112
41	0.6405282509
42	0.6397088794
43	0.6387155315
44	0.6379586345
45	0.6372485354
46	0.6365238595
47	0.6358637062
48	0.6350415066
49	0.6343394811
50	0.6335999619
51	0.6329918851
52	0.632330525
53	0.6316310342
54	0.6310136985
55	0.6302369039
56	0.6295352417
57	0.6287878049
58	0.6282404714
59	0.6275889553
60	0.62695553
61	0.6264275066
62	0.6257595071
63	0.6252340537
64	0.6246382651
65	0.6239606481
66	0.6234368048
67	0.6229495175
68	0.6225198648
69	0.6219712336
70	0.6215512908
71	0.6211339
72	0.6207435614
73	0.6203204568
74	0.6198432875
75	0.6194281585
76	0.6187470109
77	0.6183227189
78	0.6178764192
79	0.6173377475
80	0.6167594488
81	0.6164118639
82	0.6160421602
83	0.6157209074
84	0.6151775689
85	0.6147376376
86	0.6141548065
87	0.6136705498
88	0.6132702796
89	0.6130004392
90	0.6127123452
91	0.6124113081
92	0.6118635894
93	0.6116017427
94	0.6112929233
95	0.6109858933
96	0.6106421755
97	0.610221653
98	0.609965746
99	0.6097276888
100	0.6095154858
101	0.6093022357
102	0.6089524413
103	0.6086781593
104	0.6081926393
105	0.6079999666
106	0.6077918631
107	0.6074530547
108	0.6070486869
109	0.606714644
110	0.6065202313
111	0.6062668512
112	0.6059903519
113	0.6054939659
114	0.6051273173
115	0.6049134017
116	0.6046064119
117	0.6043712761
118	0.6039918725
119	0.6036725997
120	0.603296662
121	0.6030934436
122	0.6028063909
123	0.6026565457
124	0.6023164542
125	0.6019731374
126	0.6016311497
127	0.6014130698
128	0.6011787941
129	0.6010527724
130	0.6009262411
131	0.6008138185
132	0.6005113936
133	0.6003300539
134	0.6002010021
135	0.5998038554
136	0.5994830202
137	0.5993284311
138	0.5992043655
139	0.5990913914
140	0.5988414605
141	0.5985611347
142	0.5982892966
143	0.5979991174
144	0.5978146711
145	0.5977187564
146	0.5973972544
147	0.5972927555
148	0.5971219735
149	0.597038111
150	0.5968575593
151	0.596731187
152	0.5966502491
153	0.5965417128
154	0.5964052132
155	0.5962354874
156	0.596158184
157	0.5959384327
158	0.5957286244
159	0.5956612174
160	0.5953466031
161	0.5950593974
162	0.5948591918
163	0.5946780438
164	0.594564662
165	0.5943821958
166	0.5943286619
167	0.5941860217
168	0.5941297183
169	0.5940741371
170	0.5937232329
171	0.5936311666
172	0.5934843303
173	0.5933074929
174	0.5931917607
175	0.5931068085
176	0.5929091235
177	0.5928646055
178	0.59268563
179	0.5924243007
180	0.5923296729
181	0.5921140306
182	0.5918583699
183	0.5916286083
184	0.5915572897
185	0.591392041
186	0.5913554361
187	0.5913192234
188	0.5912846603
189	0.5912433953
190	0.5912076696
191	0.5910466233
192	0.5908358748
193	0.5906535502
194	0.5905246816
195	0.5904905188
196	0.5903481558
197	0.5901263769
198	0.5899351463
199	0.5897166346
