iter	Logloss
0	0.686912461
1	0.6855809774
2	0.6792288297
3	0.6761874462
4	0.6733506563
5	0.6702455697
6	0.6641172435
7	0.6633495284
8	0.6613774797
9	0.6590060394
10	0.6554412952
11	0.6498468197
12	0.6462493772
13	0.6441401055
14	0.6422319398
15	0.6378929063
16	0.6366543155
17	0.6366372113
18	0.6328631667
19	0.6327236883
20	0.628625932
21	0.6257230912
22	0.6233216399
23	0.621425341
24	0.6204195612
25	0.6186798289
26	0.6185095566
27	0.6176444204
28	0.6164598637
29	0.6164330928
30	0.614081765
31	0.6117512831
32	0.6098476503
33	0.6097073864
34	0.6060258036
35	0.6041587219
36	0.6030724696
37	0.6002193145
38	0.5985679496
39	0.5963518468
40	0.5947781833
41	0.5925243669
42	0.5918292497
43	0.5905754308
44	0.5903137899
45	0.5891040764
46	0.588504569
47	0.5874747426
48	0.5867110655
49	0.5852067523
50	0.5844915025
51	0.5829163969
52	0.5812135984
53	0.5805030842
54	0.5796801894
55	0.5784272523
56	0.5766361895
57	0.5747879691
58	0.5733616402
59	0.5733616372
60	0.5732338266
61	0.5711051848
62	0.5700427589
63	0.569241077
64	0.5679002396
65	0.5667172567
66	0.565339392
67	0.5646163991
68	0.5631942528
69	0.5620044882
70	0.5604182373
71	0.5588634064
72	0.5576471262
73	0.5553340217
74	0.5553248861
75	0.5533284012
76	0.55176914
77	0.5501228375
78	0.5479576992
79	0.5464025928
80	0.5449542363
81	0.5430017835
82	0.5417904193
83	0.5408054267
84	0.5389887705
85	0.5366039033
86	0.53547865
87	0.534079979
88	0.5331633603
89	0.5314046313
90	0.5303169091
91	0.5285546166
92	0.5268471933
93	0.5248856538
94	0.523650312
95	0.5222703944
96	0.520753755
97	0.5193477489
98	0.5180773841
99	0.5164149172
100	0.5143929153
101	0.5133556136
102	0.5123612697
103	0.5117668813
104	0.5107732897
105	0.5097006933
106	0.5081681841
107	0.5076772319
108	0.5072015023
109	0.5055279081
110	0.5043356165
111	0.5024990943
112	0.5019505885
113	0.5011104114
114	0.5005655294
115	0.4993940998
116	0.4986066986
117	0.4983046475
118	0.4975323928
119	0.4965574939
120	0.4956810164
121	0.4953302268
122	0.4937828553
123	0.4928795348
124	0.4917950055
125	0.4909336386
126	0.489941615
127	0.488901713
128	0.4875709541
129	0.4871687297
130	0.4868898382
131	0.486418554
132	0.4851282021
133	0.4843575569
134	0.4836578626
135	0.4829148368
136	0.4820169862
137	0.4809890772
138	0.4798040524
139	0.4789146707
140	0.4783592677
141	0.4777975345
142	0.4768480165
143	0.4758307167
144	0.4753974104
145	0.4746826707
146	0.4741607464
147	0.473875388
148	0.4732498265
149	0.4728912048
150	0.4718060187
151	0.4711732797
152	0.4707966977
153	0.4703405003
154	0.4693504159
155	0.4686886372
156	0.4683534602
157	0.4670061908
158	0.4662738572
159	0.4656003946
160	0.4649050515
161	0.4642899969
162	0.4634938488
163	0.4630284782
164	0.4623935758
165	0.4620112948
166	0.4614190263
167	0.460818642
168	0.4604246119
169	0.4601227729
170	0.4598869296
171	0.4595642308
172	0.4592669589
173	0.4584779178
174	0.457948266
175	0.4571259464
176	0.4565452788
177	0.4562400508
178	0.4556165013
179	0.4551322573
180	0.4546240765
181	0.4539260243
182	0.45344439
183	0.4528511226
184	0.4526584823
185	0.452190769
186	0.4518243907
187	0.4510753309
188	0.450521401
189	0.4499961324
190	0.4493114505
191	0.4488543152
192	0.4482013285
193	0.4479774705
194	0.4472438884
195	0.4465033095
196	0.4459014674
197	0.4456475306
198	0.4451655541
199	0.4446701389
200	0.4441056821
201	0.4437119101
202	0.4433231856
203	0.4431276781
204	0.4427397805
205	0.4425564339
206	0.4421994266
207	0.4418881253
208	0.4413917922
209	0.4409785426
210	0.440569153
211	0.4403390714
212	0.4399346939
213	0.4397809243
214	0.4392840787
215	0.4389704828
216	0.4385344454
217	0.4380291387
218	0.4376555317
219	0.4373157804
220	0.4370069732
221	0.4366245062
222	0.4364804009
223	0.4362511299
224	0.4357575034
225	0.435203305
226	0.4350371858
227	0.4347791203
228	0.4345213
229	0.4342395945
230	0.4340110793
231	0.4337684855
232	0.4334595326
233	0.4332125798
234	0.4328519368
235	0.4326082428
236	0.4321486128
237	0.4317647283
238	0.4313184743
239	0.4311568751
240	0.430865975
241	0.4306436637
242	0.4303904174
243	0.4301751586
244	0.4297388895
245	0.4292766916
246	0.4289773642
247	0.4283128333
248	0.4277499933
249	0.4272213587
250	0.4266623625
251	0.4265247115
252	0.4260861762
253	0.4256307964
254	0.425279236
